logFC	AveExpr	t	P.Value	adj.P.Val	B
TCL1B	-5.01035714331245	3.32149304899174	-28.209875984157	4.10350596184474e-13	1.05633142627439e-10	20.5017543568117
SDC3	-3.1050055890457	5.62840692992308	-27.9085914322642	4.71288112127118e-13	1.17087695391954e-10	20.4441621682079
MOCOS	-3.86620195884183	3.2907731215289	-27.9733217397997	4.57419302685296e-13	1.16347866918739e-10	20.4395180992863
MGAT3	-1.71558576945271	7.3695798686314	-27.925325835812	4.67659872199142e-13	1.17087695391954e-10	20.4372392763008
PDIA3	-2.22962465721868	9.92515178098767	-27.8636645266102	4.81179394508464e-13	1.18171022334113e-10	20.4369542330326
CALHM2	-4.05137720451665	2.09477446786	-28.6765068270807	3.32079256033363e-13	9.07244480160313e-11	20.4344933331558
PKIA	-2.58880871246168	4.12777992081884	-27.8297399595484	4.88796204620616e-13	1.18677496680956e-10	20.4316468572939
ATP2A3	-6.81715117683974	2.03049930059825	-29.8155133160582	2.0084027870811e-13	6.04387802095418e-11	20.4094496339077
DEPDC1B	-2.48014929014357	5.20404536585007	-27.6168665496771	5.39650358608888e-13	1.2811299513375e-10	20.3101215550831
MICAL1	-3.22677924712139	4.77173251995936	-27.4488788452049	5.83795414737825e-13	1.33273673891629e-10	20.2477489286002
MAP3K4-AS1	-3.9446698980015	2.95615796353384	-27.5741725399595	5.50518757262378e-13	1.29256964479868e-10	20.215377767278
SLC49A4	-2.28849087543312	7.1622077421258	-27.4078810375491	5.95148507255107e-13	1.33852031642238e-10	20.1912009474632
GAL	-3.62656069208535	2.8633513710532	-27.5276908854809	5.62619522338687e-13	1.30662268633569e-10	20.1903679195131
PITX1	-5.02780074060624	3.98495201396128	-27.2717214081244	6.34589362162716e-13	1.38353431754781e-10	20.1510259693043
HSD17B1	-3.41752351451923	5.98270999766072	-27.2827758429715	6.31284735505864e-13	1.38353431754781e-10	20.1426796081415
LGALS16	-7.46404081044837	1.80465854861965	-29.9202365566838	1.91946560684761e-13	5.85875745084373e-11	20.108730658421
CRIP2	-9.03840451388996	2.21762196857648	-30.167918956858	1.72553094246863e-13	5.56134298605544e-11	20.1006517564035
MAP3K4	-1.81507568390538	5.90039348849457	-27.1599175361764	6.69077234784171e-13	1.44399032307057e-10	20.0690024357322
PLCXD2	-4.36858482095414	2.49608106454266	-27.4396184256365	5.86339293541753e-13	1.33273673891629e-10	20.037630366383
CDYL	-2.17034065848739	6.23987196641144	-26.9943901268864	7.23889473448138e-13	1.53134876135573e-10	19.9870287156059
SPEG	-3.5532817273682	2.23328537514745	-27.3526853089399	6.10809707568184e-13	1.35943335540644e-10	19.9736583146608
BACE2	-2.94404222218955	3.55138873422687	-26.8363628526299	7.80743840682151e-13	1.62897838461438e-10	19.9557130875103
RHOV	-2.76259013361161	3.52445953323925	-26.802434781929	7.93565562061015e-13	1.63031940374958e-10	19.9398361194196
GATA2	-2.27016667640589	9.32159450294795	-26.8242685557984	7.85288653071617e-13	1.62897838461438e-10	19.933319861366
SLC49A3	-3.12532918807692	3.5898650977112	-26.6035753303099	8.73416255005758e-13	1.76051053815595e-10	19.8456658127889
DIO3	-2.54106585128532	5.77426045410993	-26.510460817027	9.13737937055056e-13	1.82457240776807e-10	19.7578749995712
STRA6	-2.52024796750195	4.59179762028512	-26.4314874866513	9.49505624390381e-13	1.84428519733863e-10	19.7548558557894
SH3BP2	-2.48220928158603	4.00049893601555	-26.3750653269621	9.75980298015552e-13	1.87863018445048e-10	19.7411321384738
FLNC	-3.58404635681009	6.19735012629165	-26.4595017334519	9.3664840200626e-13	1.8361833367748e-10	19.7377068987635
KAZN	-2.4359917974419	6.07128227580959	-26.459299509756	9.36740539681988e-13	1.8361833367748e-10	19.7260763986415
PLEKHO2	-2.14415110821592	5.00545719298542	-26.3518840853573	9.87086550856810e-13	1.88304386121488e-10	19.6971985387012
CGB3	-6.49395387587382	6.04080280650297	-26.3005495085914	1.012167774988e-12	1.90416120129001e-10	19.6963255468651
CKMT1A	-6.02556045580183	2.73993547147514	-26.6759421667692	8.43400661969118e-13	1.7161998612983e-10	19.6389445966583
MCAM	-3.64691438618466	4.34645663614215	-26.1648026689611	1.08185234377339e-12	1.99266010147088e-10	19.6371612566147
LRRC8D	-2.10726260889759	5.75511523919423	-26.2484846331141	1.03830703882607e-12	1.92908419057025e-10	19.6225908067302
KLHL8	-1.90009374672106	4.93592245643805	-26.139733986508	1.09527635566885e-12	2.00014312950604e-10	19.5915184079627
CGB8	-6.38331916854493	7.09282634747324	-26.0250992348033	1.15898501175449e-12	2.08091376144087e-10	19.5424428353072
PLXNB2	-1.8851051827614	6.08604553983181	-26.0927238984362	1.12093495827173e-12	2.02965223037575e-10	19.5364460195153
FGF18	-3.62801827782581	2.90988151652625	-25.9982074103006	1.17449994835882e-12	2.09119715805288e-10	19.4994470057368
PHYHIP	-5.80080366245508	1.40118471383727	-27.7604518525971	5.04758703327579e-13	1.21176117475248e-10	19.4750228716825
BAIAP2	-1.97542467320631	6.35470138173963	-25.9431080794492	1.20699073407616e-12	2.13128628299762e-10	19.4588196022564
UBALD2	-3.31964831053394	6.71191703072209	-25.8995019126362	1.23338909564198e-12	2.16004847684315e-10	19.4482414068359
FYN	-1.97503948727969	5.99669451313985	-25.7726887432709	1.31374926330808e-12	2.28207859836102e-10	19.3747108753642
PRKAG2	-2.64480096879971	5.3848743537029	-25.5542692807808	1.46565933420992e-12	2.52205667949747e-10	19.2848594310067
ESYT3	-4.04387608357783	1.63455312967981	-26.2928659244805	1.01598042191828e-12	1.90416120129001e-10	19.2719986635178
SH3TC1	-2.88259266284598	3.75956483715336	-25.4254208362062	1.56404723529196e-12	2.63129395505891e-10	19.2716141160669
LAP3	-1.70808194877348	6.18383395656066	-25.5409585523689	1.47550821369083e-12	2.52205667949747e-10	19.2507810510168
PGF	-4.27251896137342	8.78738227075148	-25.3797434708745	1.6006114968506e-12	2.65105932106278e-10	19.2070868785729
ACAN	-5.38065288839082	1.26709669821344	-27.0150494404574	7.16792135311031e-13	1.53134876135573e-10	19.1869095631254
CHSY1	-1.93797026170429	5.41082150366796	-25.0886180298871	1.85636120162251e-12	3.00477374498989e-10	19.0321306037093
PHYHIPL	-2.68413364808052	3.9916529470719	-24.9430946759237	2.00037750745983e-12	3.2003386489318e-10	19.0210175976087
