logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF703	2.37772929803309	6.30740812638066	12.7011057024991	4.98869805673738e-09	3.19404114887465e-06	11.1971435350163
FGFR3	1.27008926782901	6.05567768672299	12.6873238758319	5.05875412932193e-09	3.19404114887465e-06	11.1762339364897
USP44	-1.7188612246162	4.72316263070014	-12.6521935546688	5.24211803165962e-09	3.22036061782765e-06	11.1563643563085
MCUB	-1.58750075002071	4.50059621055683	-12.588077010595	5.59529828815257e-09	3.28211175295402e-06	11.0876597251156
TNIK	1.90225891347291	5.15484681978677	12.5051052802997	6.09044959468502e-09	3.37648583627294e-06	11.005776629783
GPM6A	2.04766188043164	5.80265265872344	12.4236768535314	6.62205030207157e-09	3.5837905563354e-06	10.9231292222708
XACT	-1.95967412469806	5.21141639016315	-12.3651841818655	7.03434279471831e-09	3.63387753918062e-06	10.8611262768152
TRIM9	3.29055334822675	4.35633867207834	12.558441768408	5.76703792173354e-09	3.28211175295402e-06	10.8346720712083
ISL1	-2.22595324670373	4.06175744483955	-12.2402565309479	8.00940088539682e-09	4.0456373805571e-06	10.7117321485436
CTSC	-1.65235307994788	5.05130292651513	-12.0439816048088	9.84371687843597e-09	4.56627927850713e-06	10.5291915262129
NHLH1	-2.35053045144959	3.22596678370508	-12.1819168643785	8.51320995399792e-09	4.11713323945474e-06	10.5212038607732
SYT17	1.92748424944052	5.29412613613648	11.9980718925586	1.03343667932296e-08	4.69800314420219e-06	10.4871037834555
SMOC2	3.26730730181005	3.51832983293976	12.3766763159893	6.95122923922445e-09	3.63387753918062e-06	10.3223750387706
PROX1	1.61529762098958	5.24931613750109	11.8167986818628	1.25417841765858e-08	5.48220681411147e-06	10.2945955209451
H19	2.08835962400594	10.7283458868539	12.0446622128571	9.83663254853284e-09	4.56627927850713e-06	10.237733552101
NR2F2	1.27977510591734	8.92647467068514	11.8450502143724	1.21670625431143e-08	5.42269277656839e-06	10.1232188979606
FBXO32	1.53285615221753	5.26896938596042	11.59246976219	1.59919356428877e-08	6.60903085750612e-06	10.0518091625
COL2A1	1.46065424687688	7.77125263710388	11.6135271852689	1.56286853840797e-08	6.57851886629875e-06	9.93826624643133
SALL1	1.06269324287512	6.40513545441516	11.5043580167063	1.76123718287447e-08	7.02331950293628e-06	9.89072294274562
PLCL1	3.12873934654436	3.80391223879512	11.6594062029868	1.4867337319225e-08	6.37612409935819e-06	9.85030913912803
GNG11	-1.6991805775517	4.70464996153992	-11.189319460362	2.49964251667408e-08	9.01855149269869e-06	9.60979310858167
SULF2	1.84849042797315	6.20681471795645	11.2096706550377	2.44314896190255e-08	8.95689933936208e-06	9.58796158939121
PLOD2	1.43772165034786	7.07220685529936	11.2667781898596	2.29176096347893e-08	8.84861961809582e-06	9.5871377502356
MIR124-2HG	2.31839465486941	4.03591749469857	11.2322194009115	2.38213894284903e-08	8.87639642146859e-06	9.58409678235516
NEUROD1	-2.65525287688264	2.2373119941348	-11.5571510169477	1.66215430970196e-08	6.74656561777244e-06	9.56564180183767
AGT	2.65326824621045	3.61648673456113	11.2648033089524	2.29682603373363e-08	8.84861961809582e-06	9.47757120754875
SNCAIP	2.00612184139812	5.03621747536948	11.0261264768327	3.00624030938947e-08	1.0353309429155e-05	9.43379220512185
MGAT4C	-3.15476804837797	2.73679335847653	-11.242670262895	2.35441417126599e-08	8.87639642146859e-06	9.42761251464664
CDH3	-1.27324801990245	4.47255641631394	-10.9718250506523	3.19819392639056e-08	1.08499922308742e-05	9.37006105288472
POMC	-3.94931313938204	1.21917436967978	-12.5569511137033	5.77582358636871e-09	3.28211175295402e-06	9.33294520993055
LTBP1	-0.955499867150625	6.70772015408956	-11.051458185063	2.92092377144995e-08	1.02142457423165e-05	9.32884363148086
EPB41L3	1.86689766794307	4.88542579388138	10.9307080618126	3.35220600693308e-08	1.10428467445781e-05	9.32687070063393
ARX	4.87062049172308	6.46923672863454	10.9037815112929	3.45732922504203e-08	1.10683229979162e-05	9.29664572055202
NKX2-1	-2.68161129707811	7.38238859104471	-11.0517460830397	2.91996908285883e-08	1.02142457423165e-05	9.27607436821552
JAKMIP2	1.53638086482214	6.34225702327093	10.9451385661406	3.29727320402005e-08	1.10216205775553e-05	9.26543037409818
CNTNAP2	-1.42809382235654	5.81116006214067	-10.9156325683747	3.41063588219796e-08	1.10683229979162e-05	9.23203592338428
ANKRD18A	2.00521513928101	4.61010534175124	10.7918304339048	3.93352709821779e-08	1.22478179373274e-05	9.16737684399873
WNK2	1.4611230991023	5.82299821121298	10.7641458450997	4.06174491542157e-08	1.2394458435537e-05	9.08642052718053
CNTN4	3.65157962151608	4.77407503730787	10.7353401839304	4.19988829462232e-08	1.2560981702206e-05	9.05825433551654
SULF1	4.12384415800267	7.6256817830622	10.7128236690936	4.31135008413363e-08	1.27268814821243e-05	8.98775304029577
STC2	1.4143047163826	7.28094686802309	10.7582374489316	4.08968052206455e-08	1.2394458435537e-05	8.97711952844992
SRGAP3	1.74303781748654	6.49771827261389	10.6751334467225	4.50502858867545e-08	1.31281153616145e-05	8.94106970972146
BCHE	1.60974311368351	4.52000685818413	10.5799803558244	5.03637350734662e-08	1.43095962277486e-05	8.92638210850743
TLN2	-1.37729658660359	5.82670492886845	-10.6480664082674	4.64981859070952e-08	1.33785286793452e-05	8.91428314885344
FANK1	1.75540729911959	4.2116909870142	10.5399620002079	5.27941114491035e-08	1.46342701614405e-05	8.87108429423388
NQO1	-1.08238897962161	5.13662910687617	-10.5586174966325	5.16459644426298e-08	1.44927502689009e-05	8.85680519790772
SKAP2	2.3638192825704	5.71256555882594	10.4499471252921	5.87286515591136e-08	1.58916934516506e-05	8.74569027637737
DIPK2A	1.51893949319456	7.00632956261455	10.5259589447957	5.36737536936013e-08	1.46988484512718e-05	8.71864866205776
TMEM65	1.47084009554387	7.05460903487518	10.4252218240005	6.04801880592646e-08	1.61731138186716e-05	8.59114420475521
PCOLCE	2.16349302071717	5.25976431936891	10.3041863941975	6.98936201840802e-08	1.80532043952744e-05	8.58976389629334
EFHD1	1.28495713868083	5.06216520464403	10.3087354319319	6.95129717096528e-08	1.80532043952744e-05	8.58687438623042
